question_id,question,rank,job_id,answer,source_url,crawl_time,data_origin,retrieval_score,skill_match,criterion_hit
4,哪些岗位包含 Excel 和 Tableau？,2,fe45bcd359fc2e04daa8a3f7,岗位：Business Analyst；公司：Delta Exchange；类别：Data Science；技能：business analyst | data analyst | business intelligence analyst | systems analyst | business analysis | is business analyst | business systems analyst | business analysis jobs | it business analysts | business analysis consultant；地区：India；薪资：未披露,https://himalayas.app/companies/delta-exchange/jobs/business-analyst-6617822836,2026-09-08T12:43:05.263749+00:00,authorized_api_collection,0.171622,"excel,tableau",1
4,哪些岗位包含 Excel 和 Tableau？,3,474c2d416bc0165abd117cb8,岗位：Business Operations Analyst II；公司：Labcorp；类别：Data Science；技能：business operations analyst | business intelligence analyst | operations analyst | data analyst | reporting analyst | business operations analyst ii | it business operations analyst；地区：United States；薪资：USD 65000-85000 annual,https://himalayas.app/companies/labcorp/jobs/business-operations-analyst-ii,2026-09-08T13:02:41.950130+00:00,authorized_api_collection,0.15931,"excel,tableau",1
5,有哪些岗位有明确地区限制？,1,00042894ea65928a375b043d,岗位：Data Scientist；公司：Delan Associates；类别：Data Science；技能：data scientist | analytics | business intelligence | data insights | search data scientist | ai data scientist | data science expert | data science | data science specialist | ml data scientist | statistical data scientist | research data scientist | data scientist analytics；地区：United States；薪资：未披露,https://himalayas.app/companies/delan-associates/jobs/data-scientist,2026-09-08T12:43:16.729579+00:00,authorized_api_collection,0.0,,1
5,有哪些岗位有明确地区限制？,2,000be624729c457d524f14d4,岗位：Pork Sales Intern；公司：Zoetis；类别：Sales；技能：sales internships | agricultural sales | animal health sales | swine industry sales | us pork team | sales intern | sales and marketing intern | agribusiness intern | inside sales intern | sales support intern | entry level agricultural sales representative | sales and business development intern | sales；地区：United States；薪资：USD 16-40.3 hourly,https://himalayas.app/companies/zoetis/jobs/pork-sales-intern,2026-09-08T12:48:43.843516+00:00,authorized_api_collection,0.0,,1
5,有哪些岗位有明确地区限制？,3,0012a0ec807b2aa3f24d464b,岗位：VOLUNTEER Entrepreneurship Program Operations Coordinator (ID154)；公司：EUSMS gGmbH；类别：Operations；技能：entrepreneurship program coordination | program coordinator | ngo operations | social impact | community development | volunteer program coordinator | program operations coordinator | volunteer program manager | entrepreneurship program director | nonprofit operations intern | employment program coordinator | business operations coordinator | startup accelerator coordinator | operations coordinator | operations；地区：Germany；薪资：未披露,https://himalayas.app/companies/eusms-ggmbh/jobs/volunteer-entrepreneurship-program-operations-coordinator-id154,2026-09-08T12:45:01.116054+00:00,authorized_api_collection,0.0,,1
6,哪些远程岗位同时涉及 AWS、Docker 和 Kubernetes？,1,37f067d04f8ef467722bb08b,岗位：Software Engineer；公司：Hooli Software；类别：Engineering；技能：it software engineer | software engineer | software developer | full stack developer | devops engineer | software engineer jobs | software engineering jobs | front end developer | backend engineer；地区：Philippines；薪资：未披露,https://himalayas.app/companies/hooli-software/jobs/software-engineer,2026-09-08T12:46:55.458235+00:00,authorized_api_collection,0.266819,"aws,docker,kubernetes",1
6,哪些远程岗位同时涉及 AWS、Docker 和 Kubernetes？,2,adf988c70b1aaf5fb0281c11,岗位：AWS DevOps Engineer；公司：Productiv Team；类别：Engineering；技能：devops engineer | platform engineer | aws devops | site reliability engineer | infrastructure engineer | aws devops engineer | aws devops engineering | aws devops specialist | senior aws devops engineer | cloud devops engineer | aws operations engineer | aws cloud engineer；地区：Poland；薪资：未披露,https://himalayas.app/companies/productiv-team/jobs/aws-devops-engineer,2026-09-08T13:09:25.460122+00:00,authorized_api_collection,0.264356,"aws,docker,kubernetes",1
6,哪些远程岗位同时涉及 AWS、Docker 和 Kubernetes？,3,81aafee01005775314a3652e,岗位：AI Engineer / Machine Learning Engineer – MLOps；公司：KATBOTZ；类别：Data Science；技能：machine learning engineer | mlops engineer | ai engineer | devops engineer | data engineering | mlops engineer jobs | ai ml engineer | ai ml ops engineer | ai ml engineer jobs；地区：United States；薪资：未披露,https://himalayas.app/companies/katbotz/jobs/ai-engineer-machine-learning-engineer-mlops,2026-09-08T12:45:55.156595+00:00,authorized_api_collection,0.255307,"aws,docker,kubernetes",0
7,有哪些岗位需要 pandas 和 PostgreSQL？,1,556f787d90c9e577d5ce4e74,岗位：Senior ASE Database Administrator；公司：BayNova LLC；类别：Data Science；技能：senior database administrator | ase database administration | postgresql administration | cloud database administration | database engineering | senior database administration | senior database engineer | senior database engineering | senior database specialist | senior sybase database administrator | senior database administrator (sql nosql)；地区：United States；薪资：未披露,https://himalayas.app/companies/baynova-llc/jobs/senior-ase-database-administrator,2026-09-08T13:10:43.246377+00:00,authorized_api_collection,0.208141,"postgresql,sql",0
7,有哪些岗位需要 pandas 和 PostgreSQL？,2,89477fadf008f907b2986917,岗位：Database Administrator；公司：BayNova LLC；类别：Data Science；技能：database administration | database administrator | dba | postgresql administration | database engineering | sql database administrator | database application administrator | database administration (dba) | oracle database administrator | sql server database administrator | senior database administrator；地区：United States；薪资：未披露,https://himalayas.app/companies/baynova-llc/jobs/database-administrator,2026-09-08T13:08:03.409976+00:00,authorized_api_collection,0.201352,"postgresql,sql",0
7,有哪些岗位需要 pandas 和 PostgreSQL？,3,221af3fc7fb45ef4420829ae,岗位：Senior ASE Database Administrator；公司：By Light Professional IT Services LLC；类别：Data Science；技能：database administration | senior database administrator | ase database administration | postgresql administration | it infrastructure | senior database administration | senior database engineer | senior database engineering | senior database specialist | senior sybase database administrator | senior database administrator (sql nosql)；地区：United States；薪资：USD 100000-150000 annual,https://himalayas.app/companies/by-light-professional-it-services-llc/jobs/senior-ase-database-administrator,2026-09-08T13:21:20.216125+00:00,authorized_api_collection,0.189485,"postgresql,sql",0
8,哪些岗位要求 JavaScript 和 TypeScript？,1,5f427e75564aa66a8c25a055,岗位：Senior Typescript Developer (f/m/d)；公司：SIDESTREAM；类别：Engineering；技能：senior typescript developer | full stack developer | vue.js developer | nuxt.js developer | software development | senior typescript backend developer | senior full stack engineer (typescript angular node) | remote senior frontend developer (typescript nextjs) | senior frontend engineer (angular) | javascript typescript developer | senior javascript developer | senior front end developer (vue.js) | senior angular frontend developer；地区：Germany；薪资：未披露,https://himalayas.app/companies/sidestream/jobs/senior-typescript-developer-f-m-d-2844198937,2026-09-08T12:47:09.567897+00:00,authorized_api_collection,0.264844,"java,javascript,typescript",1
8,哪些岗位要求 JavaScript 和 TypeScript？,2,17606b492a78a569ee420a40,岗位：Senior Full Stack Engineer (Video Platform) - LATAM-Remote；公司：Bydrec；类别：Engineering；技能：full stack engineer | full stack developer | backend engineer | frontend engineer | software engineer | remote senior full stack developer | senior full stack engineer (react node.js) | senior frontend full stack engineer；地区：Brazil；薪资：未披露,https://himalayas.app/companies/bydrec/jobs/senior-full-stack-engineer-video-platform-latam-remote,2026-09-08T13:02:38.346500+00:00,authorized_api_collection,0.243126,"java,javascript,typescript",1
8,哪些岗位要求 JavaScript 和 TypeScript？,3,44f4c4d4c9cf32ee87e5cf1b,岗位：Frontend Engineer Specialist；公司：micro1；类别：Engineering；技能：frontend engineer | web frontend engineer | front end software engineer | frontend web software engineer | front end developer | react frontend engineer | ui frontend developer；地区：未披露；薪资：未披露,https://himalayas.app/companies/micro1/jobs/frontend-engineer-specialist,2026-09-08T12:48:22.498544+00:00,authorized_api_collection,0.235999,"java,javascript,typescript",1
9,有哪些 Product 类别的远程岗位？,1,056296d9bfab7aae50cdbd5a,岗位：Product Manager - ASO/SEO；公司：Gate；类别：Marketing；技能：product management | aso | seo | growth marketing | mobile marketing | aso product management | seo product management | search product manager | product manager；地区：China；薪资：未披露,https://himalayas.app/companies/gate/jobs/product-manager-aso-seo,2026-09-08T13:22:44.980875+00:00,authorized_api_collection,0.159262,,0
9,有哪些 Product 类别的远程岗位？,2,f473c807095a40bc2d2dc31b,岗位：Product Manager - Compliance；公司：Gate；类别：Product；技能：product management | fintech | risk management | cryptocurrency | compliance product management | compliance product manager | senior compliance product manager | product compliance manager | compliance；地区：China；薪资：未披露,https://himalayas.app/companies/gate/jobs/product-manager-compliance,2026-09-08T13:22:39.813495+00:00,authorized_api_collection,0.156929,,1
9,有哪些 Product 类别的远程岗位？,3,64b9782eb7b3e4e45b6094cf,岗位：Principal Product Manager - Mobile；公司：KFC Global Careers；类别：Product；技能：mobile product manager | principal product manager | mobile application product manager | principal product management | mobile apps product manager | product manager；地区：United States；薪资：未披露,https://himalayas.app/companies/kfc-global-careers/jobs/principal-product-manager-mobile,2026-09-08T12:54:11.078933+00:00,authorized_api_collection,0.122521,,1
10,哪些 Finance 类别岗位适合有 Excel 经验的人？,1,fa33acbc6010b83fd98c748f,岗位：Remote Senior Financial Analyst；公司：Jobs for Humanity；类别：Finance；技能：financial analyst | financial analysis | financial planning and analysis | finance | fp&a analyst | remote financial analyst | remote senior healthcare financial analyst | senior finance analyst；地区：Lebanon；薪资：未披露,https://himalayas.app/companies/jobsforlebanon/jobs/remote-senior-financial-analyst,2026-09-08T12:46:46.426050+00:00,authorized_api_collection,0.170404,excel,1
10,哪些 Finance 类别岗位适合有 Excel 经验的人？,2,a1a0d5a1a9fb744a5fed195a,岗位：Finance Executive (AP) - 1 Yr Contract；公司：People Profilers；类别：Finance；技能：finance executive | accounts payable | financial accounting | ap accounting | accounts executive | accounts payable executive | finance associate | financial accountant | accounting executive | finance；地区：United States；薪资：未披露,https://himalayas.app/companies/people-profilers/jobs/finance-executive-ap-1-yr-contract,2026-09-08T13:00:47.371399+00:00,authorized_api_collection,0.14676,excel,1
10,哪些 Finance 类别岗位适合有 Excel 经验的人？,3,4caa9dcdc0f0da1c730b1196,"岗位：Analista de planeación financiera Junior (Bilingüe) (CO, Colombia, Virtual, Colo；公司：BCD Travel；类别：Finance；技能：financial planning and analysis | financial analysis | finance | budgeting | corporate finance | remote junior financial analyst | junior finance analyst | junior financial analyst | fp&a analyst；地区：Colombia；薪资：未披露",https://himalayas.app/companies/bcd-travel/jobs/analista-de-planeacion-financiera-junior-bilingue-co-colombia-virtual-colo-5323348442,2026-09-08T12:48:22.498544+00:00,authorized_api_collection,0.144654,excel,1
